--- users ---
id,username,email,created_at,is_active
1,alice,alice@example.com,2024-01-15 10:00:00,1
2,bob,bob@example.com,2024-01-16 11:30:00,1
3,charlie,charlie@example.com,2024-01-17 09:15:00,1
4,diana,diana@example.com,2024-01-18 14:00:00,1
5,eve,eve@example.com,2024-01-19 08:45:00,0
6,frank,frank@example.com,2024-01-20 16:20:00,1
7,grace,grace@example.com,2024-01-21 12:00:00,1
8,henry,henry@example.com,2024-01-22 10:30:00,1
9,ivan,ivan@example.com,2024-01-23 15:45:00,0
10,julia,julia@example.com,2024-01-24 09:00:00,1
11,karl,karl@example.com,2024-01-25 11:00:00,1
12,luna,luna@example.com,2024-01-26 13:30:00,1
13,marco,marco@example.com,2024-01-27 10:00:00,1
14,nina,nina@example.com,2024-01-28 14:15:00,1
15,oscar,oscar@example.com,2024-01-29 08:30:00,0
16,petra,petra@example.com,2024-01-30 16:00:00,1
17,quinn,quinn@example.com,2024-01-31 12:45:00,1
18,ravi,ravi@example.com,2024-02-01 10:00:00,1
19,sarah,sarah@example.com,2024-02-02 11:30:00,1
20,tomás,tomas@example.com,2024-02-03 09:00:00,1

--- products ---
id,name,category,price,stock,created_at
65,14,26,1,45.99,2024-02-08 18:00:00
66,15,3,1,29.99,2024-02-04 08:00:00
67,15,9,2,110.0,2024-02-05 09:00:00
68,16,4,1,79.99,2024-02-05 10:00:00
69,16,10,2,80.0,2024-02-06 11:00:00
70,16,16,1,129.99,2024-02-07 12:00:00
71,16,22,1,27.99,2024-02-08 13:00:00
72,16,28,3,38.97,2024-02-09 14:00:00
73,17,5,1,39.99,2024-02-05 15:00:00
74,17,11,2,100.0,2024-02-06 16:00:00
75,17,17,1,24.99,2024-02-07 17:00:00
76,17,23,1,149.99,2024-02-08 18:00:00
77,17,29,2,39.98,2024-02-09 09:00:00
78,18,6,1,19.99,2024-02-06 10:00:00
80,18,18,1,149.99,2024-02-08 12:00:00
81,18,24,2,29.98,2024-02-09 13:00:00
82,18,30,1,79.99,2024-02-10 14:00:00
83,19,1,1,29.99,2024-02-07 09:00:00
84,19,7,3,239.97,2024-02-08 10:00:00
85,19,13,1,15.99,2024-02-09 11:00:00
86,19,19,2,65.98,2024-02-10 12:00:00
88,20,2,1,49.99,2024-02-07 14:00:00
89,20,8,2,70.0,2024-02-08 15:00:00
90,20,14,1,39.99,2024-02-09 16:00:00
91,20,20,2,179.98,2024-02-10 17:00:00
92,20,26,1,45.99,2024-02-11 18:00:00
93,1,3,2,59.98,2024-02-10 09:00:00
94,2,4,1,79.99,2024-02-10 10:00:00
95,3,5,2,79.98,2024-02-10 11:00:00
96,4,6,1,19.99,2024-02-10 12:00:00
97,6,1,2,59.98,2024-02-10 13:00:00
98,7,2,1,49.99,2024-02-10 14:00:00
99,8,3,3,89.97,2024-02-10 15:00:00
100,10,5,1,39.99,2024-02-10 16:00:00

--- reviews ---
id,user_id,product_id,rating,comment,reviewed_at
1,1,1,5,"Excellent mouse, very responsive!",2024-02-05 10:00:00
2,1,7,4,"Great cookbook, well organized",2024-02-05 10:30:00
3,1,13,3,,2024-02-05 11:00:00
4,2,2,5,Best keyboard I've owned,2024-02-06 09:00:00
5,2,8,4,Solid SQL reference,2024-02-06 09:30:00
6,2,14,4,Good quality denim,2024-02-06 10:00:00
7,3,3,5,Great value HDMI cable,2024-02-07 08:00:00
8,3,9,3,Okay for beginners,2024-02-07 08:30:00
9,3,15,5,Amazing running shoes!,2024-02-07 09:00:00
10,4,4,4,Clear picture quality,2024-02-08 13:00:00
11,4,10,5,Must read for developers,2024-02-08 13:30:00
12,4,16,4,Warm and stylish,2024-02-08 14:00:00
13,5,5,2,Battery life disappointing,2024-02-09 09:00:00
14,5,11,3,,2024-02-09 09:30:00
15,6,6,4,Fast charging,2024-02-09 12:00:00
17,6,18,3,Decent belt,2024-02-09 13:00:00
18,7,1,4,Good mouse for the price,2024-02-10 09:00:00
19,7,7,5,Love the recipes!,2024-02-10 09:30:00
20,7,13,4,Comfortable cotton,2024-02-10 10:00:00
21,8,2,3,Keys feel a bit mushy,2024-02-10 14:00:00
22,8,8,4,Good for SQL learners,2024-02-10 14:30:00
23,8,14,5,Perfect fit!,2024-02-10 15:00:00
24,9,3,4,Works well,2024-02-10 08:00:00
25,9,9,2,Too basic for me,2024-02-10 08:30:00
26,10,4,5,Excellent webcam,2024-02-11 11:00:00
27,10,10,4,Classic book,2024-02-11 11:30:00
28,10,16,3,A bit pricey,2024-02-11 12:00:00
29,11,5,4,Good sound quality,2024-02-12 09:00:00
30,11,11,5,Essential reading,2024-02-12 09:30:00
31,11,17,3,Keeps me warm,2024-02-12 10:00:00
32,12,6,5,Works perfectly,2024-02-12 13:00:00
34,12,18,4,Nice leather quality,2024-02-12 14:00:00
35,13,1,5,Great mouse!,2024-02-13 09:00:00
36,13,7,3,Some recipes too complex,2024-02-13 09:30:00
37,14,2,4,Good keyboard,2024-02-13 14:00:00
38,14,8,5,Best SQL book ever,2024-02-13 14:30:00
39,16,4,4,Good webcam for meetings,2024-02-14 10:00:00
40,16,10,5,Changed how I code,2024-02-14 10:30:00
41,17,5,3,Average speaker,2024-02-14 15:00:00
42,17,11,4,Very informative,2024-02-14 15:30:00
43,18,6,5,Best charger,2024-02-15 10:00:00
45,19,1,4,Solid wireless mouse,2024-02-16 09:00:00
46,19,7,5,Learned so much!,2024-02-16 09:30:00
47,20,2,4,Reliable keyboard,2024-02-16 14:00:00
48,20,8,3,Good but dated,2024-02-16 14:30:00

